StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1_TEXT,Q2,Q2_1_TEXT,Q3,Q3_1_TEXT,Q4,Q4_1_TEXT,Q5,Q5_1_TEXT,Q6,Q6_1_TEXT,Q7,Q7_2_TEXT,Q6_1_TEXT - Topics,Q6_1_TEXT - Parent Topics,Q6_1_TEXT - Topic Hierarchy Level 1
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_ac7sTaEnYHdu0KO,,,,"[Mariska Bogaard (she/her)] 14:59:27- Okay, and How does that differ from like a regular emergency manager title? In your role and Yeah.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_bfqmPB1u3DgfTgO,,,,"[Ben Almquist] 15:06:42- Okay, yeah, well, so for our planning process, we embrace what is known as an all hazards all community. Approach. So we are preparing for every potential type of natural man-made or technological hazard. And at the same time, we are incorporating government. Business, local community, NGOs. Anybody who's going to be affected or can potentially provide us with resources, we want them at the table.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_cIN3CLyZ8aOssXs,,,,That actually leads perfectly into my next question. I was the it's do you collaborate with your community and then how or why? Or what does that look like?,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_dbrSDxGnzaU0l26,,,,"[Ben Almquist] 15:04:37- So usually it's gonna be held in a community center, church or school. And we just get as many of the local community there as we possibly can. Sometimes that's through coordinated groups. We try and present with church groups. With Community action groups, you, an organization like the NAACP can, can often help us out with that. So we just try and get as many people in there as possible. And then we'll give a presentation, you know. A PowerPoint, video, something like that. And then a lot of it comes down to question and answer, being able to. Present them the information and then let them ask us questions so they can get a better understanding.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_e33TMY8G12cTZhY,,,,"[Ben Almquist] 14:59:36- Okay, so if you have somebody who is their title is just emergency manager that usually means they're a one person shop whereas I have several people that report to me.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_0B7hrCfDbpgnFdA,,,,"[Ben Almquist] 15:10:58- Yeah, I would say. Will Rochester, Berkeley County, South Carolina? That, was my previous position. He's the guy followed in behind me. So I know he's had to deal with it some. I would say if you, if you can get a hold of somebody out there, McCormick County, that is our that is the smallest county in South Carolina. It is entirely rural. They they would probably have good experiences to share and probably a Pro a slightly different perspective than I have too.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_292XS2yjutJft0G,,,,"[Ben Almquist] 15:08:45- We don't have a lot of trouble. We try as best we can to identify problem areas before. And even with the digital divide, we are finding that. That divide is getting smaller and smaller every year. Resources are getting out to communities maybe not as quickly as we would like but they are getting out there And. Even if people don't have reliable access to the internet, they do have some understanding of how important it is. And so we found that a lot of people who don't have access they know somebody who does they know how to get to access",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_3BM3Nf7WyWxOBNA,,,,"[Mariska Bogaard (she/her)] 14:59:47- Okay, and who all reports to you?",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_4SH9EymZhCyBxk2,,,,"You know, without constant access to information. People only have what they know. You know, what they've been raised with, what is in front of them on a day to day basis. So they're sense of community is really just limited to what is immediately around them. What they see on their day to day basis. So without that digital access, they are exposed to much less than people who have regular access.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_5ng9pKIV4u669Ce,,,,the information.,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_6LtSGnM3NdMZcge,,,,"[Ben Almquist] 15:07:22- Yes, I You will see some sort of some divide in in communities and that's usually based on the effort of the emergency management agency there. If you put in the effort, you will usually find that your community wants to be involved. They want to know what's going on. They want to know how they can help. And they want to know how they're going to be affected.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_6PP05pWjgIgWrfo,,,,"[Mariska Bogaard (she/her)] 15:10:30- Yeah, absolutely. Well, that was my last question. But if you have any questions for me or you'd like to share anything else, please feel free to.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_7VDriVwy0y3NfMi,,,,[Mariska Bogaard (she/her)] 15:00:35- That makes sense. Do you have any examples of that?,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_86NIGcl5v6cXdbg,,,,"[Ben Almquist] 15:00:41- Sure. So When it comes to a large scale event, we utilize a common operating software.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_89cIkpeDVW26j2u,,,,"[Ben Almquist] 15:01:14- So it's something that we look at quite a bit actually. We are very aware that there are certain communities. That either do not have, the same access that most people have or the same capability or I guess. They don't have the same understanding of what they can do with that access if they do have it. We see a lot with, Some minority communities, non English speaking communities, elderly. A lot of rural communities really deal with it quite a bit.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_8JqnekqF2YgDXpk,,,,"[Ben Almquist] 15:02:56- Well the same principle applies to other things, sea level rise, urban sprawl.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_8JsUfDnPabiAbTU,,,,"[Mariska Bogaard (she/her)] 15:10:53- Okay, can you offer me any recommendations of people?",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_8hIXRTIVMtafg0e,,,,[Mariska Bogaard (she/her)] 15:08:36- Okay. And do you have trouble reaching people and do you see any patterns in that?,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_8zT17XZJHsk3bOC,,,,[Mariska Bogaard (she/her)] 15:07:46,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_9MKvFqcSE3fXVA2,,,,[Ben Almquist] 14:59:23- the director of emergency management for the city of Charleston.,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_a040JEvD8gm9n9Q,,,,"[Ben Almquist] 15:07:57- Yeah, so we've got several commissions, that are directly tied into, the community, as well as our public private partnerships, that we utilize. We, we do things from public messaging to public education to trying to build volunteer bases And, you know. The biggest thing is always information, making sure people get information ahead of time, but also that they understand how to get information if an event happens.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_aVPn9MOMvsfICsC,,,,[Mariska Bogaard (she/her)] 15:11:35- Thank you very much. And would I be able to find the contact information? On the emergency management Website for South Carolina.,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_aYtIPBf018Nanky,,,,And so if I'm requesting resources from that I know are going to come from the state say I need National Guard support. I will submit a resource request to the county and they're going to process that for me. And send it on to the state. The state will actually mobilize the national guard for me and send them down to assist.,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_b78CFLm2nPiPsgu,,,,[Mariska Bogaard (she/her)] 15:04:27- Okay. And what does that look like? Like what is a public meeting? Look like.,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_bBq6NgpvMYY1Rbw,,,,"[Mariska Bogaard (she/her)] 15:09:53- Absolutely. Do you feel like they're as concerned or more concerned you can already started to answer this, but, as you are.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_baxmg6ynhsKT1sy,,,,"[Mariska Bogaard (she/her)] 15:05:23- And do you have, is there, Special funding. To address this or like budget allocations or outside support.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_bynm2x9Vi3inmku,,,,[Ben Almquist] 15:02:01- Not it's not at the city level. My previous position. I was a county emergency management director. And we had plenty of rural communities that I had to deal with then.,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_cZ68r175ciT7IKa,,,,[Mariska Bogaard (she/her)] 15:03:36- What resources do you currently have to address this intersection of the digital dividing climate change?,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_cZo9bB5WVVcpz70,,,,"[Ben Almquist] 15:10:01- Most of my colleagues, yes, I do know that. You know, of course you're talking about a country of 360 million people. Course you're going to find some who are not concerned, some who don't care. That's just the nature of the beast. But by and large, People in my position. We don't get into this, without understanding the importance of it. So we are always trying to figure out how we can take care of our people.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_cvdvQgzYbrm7Jl4,,,,[Mariska Bogaard (she/her)] 15:02:47- Yeah. That makes a lot of sense. And are there any other connections you see?,,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_eCEg1NK9xuRdEjQ,,,,"[Mariska Bogaard (she/her)] 14:59:54- Okay, and do you collaborate with state and local governments on community resilience as well? How?",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_eJuiJ0B8IPRCzxc,,,,"[Ben Almquist] 15:11:47- Yes, if you go to South Carolina in these, page, they've got a, They've got a who we are drop down menu and that includes all the county directors.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_eXw05FEwdDSMbNc,,,,"[Mariska Bogaard (she/her)] 15:02:17- Okay, and what in your understanding does the digital divide? Have to do with climate change?",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_egs6PjXZXlIQLoa,,,,"[Ben Almquist] 15:03:45- So. The best thing that we can do is we get out to the public, we do regular public meetings. And it's a little bit of a tight rope because a lot of these communities that don't have access to the communities that don't have access to that don't have reliable access. To the internet. They are also the least likely to believe in climate change. You know, because they don't see it directly. So it's a matter of. Sort of presenting to them the things that they have seen, the changes they have seen and explaining how that works back to climate change.",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_ehDbLLXvbMe9A3Q,,,,"[Mariska Bogaard (she/her)] 15:09:29- Okay. And do you talk, have you spoken with any other emergency managers about any of these issues?",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_0V8l8tY7fvxLTmK,,,,"[Ben Almquist] 15:02:21- So. It's not as easy for people to access information or it's not. You know, if you're, if you're not on the internet, with some regularity, you probably haven't seen very much about climate change, as far as the data that's out there, because it's something that without that constant presentation, you actually have to go look for",,,,,,,,,,,,,,,,,,,,,
12/10/23 13:53,12/10/23 13:53,4,,,,1,12/10/23 13:53,R_3aqq9YYgtBHI9OC,,,,"[Ben Almquist] 15:00:00- Yes. Yes. So. There are a lot of, interlaced plans that we operate with. Because anything that affects the city of Charleston is going to affect probably the surrounding communities. And if we have certain events are going to exceed our resources, so we need to be able to work with the county, the state and the federal government in order to ensure that we're able to get what we need to help the citizens out.",,,,,,,,,,,,,,,,,,,,,
1/6/24 11:38,1/6/24 11:42,0,72.211.67.249,100,281,1,1/6/24 11:42,R_63f3INwdUfuB7WD,,,,,30.0074,-90.115,anonymous,EN,1,Disaster Management Consultant,1,"Consulting with local communities, states, private sector clients and international organizations on disaster management issues.",1,Yes - such communities do not have access to existing and future data concerning historical and climate related risks.,1,NO,1,No,1,No,2,N/A,Unknown,,
